Date,Value Date,Bank Account,Narration,Party Name,Mode,Reference No,Type,Debit,Credit,Balance,Auto Tag,Inter-Bank Excluded?,Source Email Date,Processed On
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793876/949935464,,CMS,S1884253,PAYMENT,48146.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793865/949898364,,CMS,S4509393,PAYMENT,573.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793880/949935471,,CMS,S1884260,PAYMENT,23868.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793884/949935476,,CMS,S1884269,PAYMENT,10503.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793891/949935502,,CMS,S1884283,PAYMENT,13252.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793859/949869761,,CMS,S4508713,PAYMENT,5250.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793872/949935442,,CMS,S1884245,PAYMENT,12078.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793897/949935518,,CMS,S4509414,PAYMENT,9928.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793901/949935680,,CMS,S4509415,PAYMENT,1012.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793888/949935478,,CMS,S4508737,PAYMENT,11319.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793911/949949968,,CMS,S4508744,PAYMENT,14910.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793906/949935708,,CMS,S4509418,PAYMENT,6399.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793914/949950444,,CMS,S4508747,PAYMENT,12857.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793940/950073979,,CMS,S4508755,PAYMENT,1083.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793952/950163177,,CMS,S4508757,PAYMENT,1725.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793959/950163599,,CMS,S1884340,PAYMENT,4561.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793957/950163179,,CMS,S4508759,PAYMENT,736.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793945/950103733,,CMS,S4509430,PAYMENT,5497.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798685/950163174,,CMS,S1889296,PAYMENT,28843.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798659/950163170,,CMS,S4520882,PAYMENT,12048.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798677/950163173,,CMS,S1889261,PAYMENT,9427.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798692/950163175,,CMS,S1889315,PAYMENT,4833.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798699/950163176,,CMS,S4520944,PAYMENT,480.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798714/950163181,,CMS,S4520968,PAYMENT,1462.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798705/950163180,,CMS,S1889346,PAYMENT,13255.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798730/950163600,,CMS,S4520539,PAYMENT,11250.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798756/950163603,,CMS,S1889427,PAYMENT,12479.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
