Date,Value Date,Bank Account,Narration,Party Name,Mode,Reference No,Type,Debit,Credit,Balance,Auto Tag,Inter-Bank Excluded?,Source Email Date,Processed On
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN FBPT261660544446 MAYUR SALES PRIVATE LIMITE FEDERAL BANK FDRL0009001 AC ENDING 4120 REF BatchId:0033 MAYUR SALES PRIVATE LIMITED INR 6006.68,MAYUR SALES PRIVATE LIMITE,NEFT,FBPT261660544446,RECEIPT,,6006.68,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN SCBLH16600720549 INGKA SERVICES LLP STANDARD CHARTERED BANK SCBL00 AC ENDING 1265 REF BatchId:0035 INGKA SERVICES LLP INR 112822.9,INGKA SERVICES LLP,NEFT,SCBLH16600720549,RECEIPT,,112822.90,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN YESB61666348066 AMBIENCE HOTELS AND RESORTS YES BANK YESB0000001 AC ENDING 9967 REF BatchId:0035 AMBIENCE HOTELS AND RESORTS PV INR 1919730,AMBIENCE HOTELS AND RESORTS,NEFT,YESB61666348066,RECEIPT,,1919730.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN SBIN226166093948 BHARAT ELECTRONICS LIMITED STATE BANK OF INDIA SBIN000426 AC ENDING 2386 REF BatchId:0035 BHARAT ELECTRONICS LIMITED INR 1306126.99,BHARAT ELECTRONICS LIMITED,NEFT,SBIN226166093948,RECEIPT,,1306126.99,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN CITIN26683182384 PRICEWATERHOUSECOOPERS PRO CITI BANK CITI0000002 AC ENDING 7214 REF BatchId:0035 PRICEWATERHOUSECOOPERS PROF SER LLP INR 51681.11,PRICEWATERHOUSECOOPERS PRO,NEFT,CITIN26683182384,RECEIPT,,51681.11,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,RTGS HDFC202606155071054625 VICTORA HOSPITALITIES HDFC BANK HDFC0000240 AC Ending 8975 REF- VICTORA HOSPITALITIES PRIVATE LIMIT INR 350758,VICTORA HOSPITALITIES,RTGS,HDFC202606155071054625,RECEIPT,,350758.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN HDFCH01064406225 RA REFUND POOL ACCOUNT HDFC BANK HDFC0000240 AC ENDING 0156 REF BatchId:0037 RA REFUND POOL ACCOUNT INR 8065,RA REFUND POOL ACCOUNT,NEFT,HDFCH01064406225,RECEIPT,,8065.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN CITIN26684018584 NESTLE INDIA HO PAYMENT CITI BANK CITI0000002 AC ENDING 8734 REF BatchId:0040 NESTLE INDIA - HO PAYMENT AC INR 458915.6,NESTLE INDIA HO PAYMENT,NEFT,CITIN26684018584,RECEIPT,,458915.60,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-16,2026-06-16,DBS 858200061542,NEFTIN SCBLH16700501360 FIL INDIA BUSINESS AND RES STANDARD CHARTERED BANK SCBL00 AC ENDING 0955 REF BatchId:0003 FIL INDIA BUSINESS AND RESEARCH SER INR 3784.09,FIL INDIA BUSINESS AND RES,NEFT,SCBLH16700501360,RECEIPT,,3784.09,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-16,2026-06-16,DBS 858200061542,NEFTIN BOFAH26167001142 Hyland Software Solutions BANK OF AMERICA BOFA0MM6205 AC ENDING 1010 REF BatchId:0011 Hyland Software Solutions India LLP INR 277482.08,Hyland Software Solutions,NEFT,BOFAH26167001142,RECEIPT,,277482.08,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-16,2026-06-16,DBS 858200061542,NEFTIN BOFAH26167000949 JONES LANG LASALLE PROPERT BANK OF AMERICA BOFA0CN6215 AC ENDING 4135 REF BatchId:0011 JONES LANG LASALLE PROPERTY INR 41203.99,JONES LANG LASALLE PROPERT,NEFT,BOFAH26167000949,RECEIPT,,41203.99,,Client Receipt,NO,2026-06-16,2026-06-16
